file_path,label
Dataset/traffic-images/sparse_traffic/frame0735_leftImg8bit.jpg,sparse_traffic
Dataset/traffic-images/sparse_traffic/frame1777_leftImg8bit.jpg:Zone.Identifier,sparse_traffic
Dataset/traffic-images/sparse_traffic/frame31481_leftImg8bit.jpg,sparse_traffic
Dataset/traffic-images/sparse_traffic/images_471 (2).jpg,sparse_traffic
Dataset/traffic-images/sparse_traffic/frame8075_leftImg8bit.jpg:Zone.Identifier,sparse_traffic
Dataset/traffic-images/sparse_traffic/frame6749_leftImg8bit.jpg,sparse_traffic
Dataset/traffic-images/sparse_traffic/images_618.jpg:Zone.Identifier,sparse_traffic
Dataset/traffic-images/sparse_traffic/images_414.jpg,sparse_traffic
Dataset/traffic-images/sparse_traffic/images_322 (3).jpg:Zone.Identifier,sparse_traffic
Dataset/traffic-images/sparse_traffic/frame16148_leftImg8bit.jpg,sparse_traffic
Dataset/traffic-images/sparse_traffic/frame0636_leftImg8bit.jpg:Zone.Identifier,sparse_traffic
Dataset/traffic-images/sparse_traffic/images_248 (2).jpg:Zone.Identifier,sparse_traffic
Dataset/traffic-images/sparse_traffic/images_103.jpg,sparse_traffic
Dataset/traffic-images/sparse_traffic/frame2939_leftImg8bit.jpg:Zone.Identifier,sparse_traffic
Dataset/traffic-images/sparse_traffic/images_358 (4).jpg,sparse_traffic
Dataset/traffic-images/sparse_traffic/frame11637_leftImg8bit.jpg,sparse_traffic
Dataset/traffic-images/sparse_traffic/images_309.jpg:Zone.Identifier,sparse_traffic
Dataset/traffic-images/sparse_traffic/frame0985_leftImg8bit.jpg:Zone.Identifier,sparse_traffic
Dataset/traffic-images/sparse_traffic/frame12604_leftImg8bit.jpg,sparse_traffic
Dataset/traffic-images/sparse_traffic/images_014.jpg:Zone.Identifier,sparse_traffic
Dataset/traffic-images/sparse_traffic/images_351 (2).jpg:Zone.Identifier,sparse_traffic
Dataset/traffic-images/sparse_traffic/images_222 (2).jpg,sparse_traffic
Dataset/traffic-images/sparse_traffic/images_597.jpg:Zone.Identifier,sparse_traffic
Dataset/traffic-images/sparse_traffic/images_664.jpg:Zone.Identifier,sparse_traffic
Dataset/traffic-images/sparse_traffic/frame0689_leftImg8bit.jpg:Zone.Identifier,sparse_traffic
Dataset/traffic-images/sparse_traffic/images_383 (3).jpg:Zone.Identifier,sparse_traffic
Dataset/traffic-images/sparse_traffic/frame0026_leftImg8bit.jpg,sparse_traffic
Dataset/traffic-images/sparse_traffic/images_327 (2).jpg,sparse_traffic
Dataset/traffic-images/sparse_traffic/frame3153_leftImg8bit.jpg:Zone.Identifier,sparse_traffic
Dataset/traffic-images/sparse_traffic/images_290.jpg,sparse_traffic
Dataset/traffic-images/sparse_traffic/frame2867_leftImg8bit.jpg,sparse_traffic
Dataset/traffic-images/sparse_traffic/images_474 (3).jpg,sparse_traffic
Dataset/traffic-images/sparse_traffic/frame0425_leftImg8bit.jpg:Zone.Identifier,sparse_traffic
Dataset/traffic-images/sparse_traffic/frame0933_leftImg8bit.jpg,sparse_traffic
Dataset/traffic-images/sparse_traffic/frame2680_leftImg8bit.jpg:Zone.Identifier,sparse_traffic
Dataset/traffic-images/sparse_traffic/frame10434_leftImg8bit.jpg:Zone.Identifier,sparse_traffic
Dataset/traffic-images/sparse_traffic/images_483 (2).jpg,sparse_traffic
Dataset/traffic-images/sparse_traffic/frame4492_leftImg8bit.jpg:Zone.Identifier,sparse_traffic
Dataset/traffic-images/sparse_traffic/images_089.jpg,sparse_traffic
Dataset/traffic-images/sparse_traffic/images_024 (2).jpg,sparse_traffic
Dataset/traffic-images/sparse_traffic/frame5777_leftImg8bit.jpg,sparse_traffic
Dataset/traffic-images/sparse_traffic/images_386.jpg:Zone.Identifier,sparse_traffic
Dataset/traffic-images/sparse_traffic/images_337.jpg:Zone.Identifier,sparse_traffic
Dataset/traffic-images/sparse_traffic/frame3512_leftImg8bit.jpg:Zone.Identifier,sparse_traffic
Dataset/traffic-images/sparse_traffic/frame0953_leftImg8bit.jpg:Zone.Identifier,sparse_traffic
Dataset/traffic-images/sparse_traffic/frame0573_leftImg8bit.jpg:Zone.Identifier,sparse_traffic
Dataset/traffic-images/sparse_traffic/images_664.jpg,sparse_traffic
Dataset/traffic-images/sparse_traffic/images_677.jpg,sparse_traffic
Dataset/traffic-images/sparse_traffic/frame2012_leftImg8bit.jpg:Zone.Identifier,sparse_traffic
Dataset/traffic-images/sparse_traffic/images_277.jpg:Zone.Identifier,sparse_traffic
Dataset/traffic-images/sparse_traffic/images_481.jpg:Zone.Identifier,sparse_traffic
Dataset/traffic-images/sparse_traffic/images_345 (2).jpg:Zone.Identifier,sparse_traffic
Dataset/traffic-images/sparse_traffic/images_371 (3).jpg:Zone.Identifier,sparse_traffic
Dataset/traffic-images/sparse_traffic/images_230.jpg,sparse_traffic
Dataset/traffic-images/sparse_traffic/frame0664_leftImg8bit.jpg,sparse_traffic
Dataset/traffic-images/sparse_traffic/frame5819_leftImg8bit.jpg,sparse_traffic
Dataset/traffic-images/sparse_traffic/images_478.jpg,sparse_traffic
Dataset/traffic-images/sparse_traffic/images_621.jpg:Zone.Identifier,sparse_traffic
Dataset/traffic-images/sparse_traffic/frame0813_leftImg8bit.jpg,sparse_traffic
Dataset/traffic-images/sparse_traffic/images_667 (2).jpg,sparse_traffic
Dataset/traffic-images/sparse_traffic/images_651.jpg:Zone.Identifier,sparse_traffic
Dataset/traffic-images/sparse_traffic/frame33118_leftImg8bit.jpg,sparse_traffic
Dataset/traffic-images/sparse_traffic/frame8729_leftImg8bit.jpg,sparse_traffic
Dataset/traffic-images/sparse_traffic/frame11203_leftImg8bit.jpg:Zone.Identifier,sparse_traffic
Dataset/traffic-images/sparse_traffic/frame4349_leftImg8bit.jpg,sparse_traffic
Dataset/traffic-images/sparse_traffic/images_432 (3).jpg,sparse_traffic
Dataset/traffic-images/sparse_traffic/images_601.jpg,sparse_traffic
Dataset/traffic-images/sparse_traffic/frame16587_leftImg8bit.jpg:Zone.Identifier,sparse_traffic
Dataset/traffic-images/sparse_traffic/frame4210_leftImg8bit.jpg,sparse_traffic
Dataset/traffic-images/sparse_traffic/frame18563_leftImg8bit.jpg,sparse_traffic
Dataset/traffic-images/sparse_traffic/images_396 (2).jpg,sparse_traffic
Dataset/traffic-images/sparse_traffic/images_276.jpg:Zone.Identifier,sparse_traffic
Dataset/traffic-images/sparse_traffic/images_228.jpg:Zone.Identifier,sparse_traffic
Dataset/traffic-images/sparse_traffic/images_478.jpg:Zone.Identifier,sparse_traffic
Dataset/traffic-images/sparse_traffic/frame5219_leftImg8bit.jpg:Zone.Identifier,sparse_traffic
Dataset/traffic-images/sparse_traffic/frame0089_leftImg8bit.jpg:Zone.Identifier,sparse_traffic
